contig_name	strain_name	taxon	rep_type
CP108322	['NBC_00001']	['Streptomyces canus']	chromosome
CP108321	['NBC_00002']	['Streptomyces canus']	chromosome
CP108318	['NBC_00003']	['Streptomyces sp. NBC_00003']	chromosome
CP108319	['NBC_00003']	['Streptomyces sp. NBC_00003']	extrachromosomal
CP108320	['NBC_00003']	['Streptomyces sp. NBC_00003']	extrachromosomal
CP108316	['NBC_00005']	['Streptomyces sp. NBC_00005']	chromosome
CP108317	['NBC_00005']	['Streptomyces sp. NBC_00005']	plasmid
CP108313	['NBC_00008']	['Streptomyces sp. NBC_00008']	chromosome
CP108314	['NBC_00008']	['Streptomyces sp. NBC_00008']	extrachromosomal
CP108315	['NBC_00008']	['Streptomyces sp. NBC_00008']	plasmid
CP108312	['NBC_00009']	['Streptomyces sp. NBC 00009']	chromosome
CP108309	['NBC_00012']	['Streptomyces sp. NBC 00012']	chromosome
CP108310	['NBC_00012']	['Streptomyces sp. NBC 00012']	plasmid
CP108311	['NBC_00012']	['Streptomyces sp. NBC 00012']	plasmid
CP108306	['NBC_00015']	['Streptomyces sp. NBC_00015']	chromosome
CP108307	['NBC_00015']	['Streptomyces sp. NBC_00015']	plasmid
CP108308	['NBC_00015']	['Streptomyces sp. NBC_00015']	plasmid
CP108304	['NBC_00016']	['Streptomyces sp. NBC 00016']	chromosome
CP108305	['NBC_00016']	['Streptomyces sp. NBC 00016']	plasmid
CP108341	['NBC_00017']	['Streptomyces purpurascens']	chromosome
CP108302	['NBC_00019']	['Streptomyces sp. NBC 00019']	chromosome
CP108303	['NBC_00019']	['Streptomyces sp. NBC 00019']	plasmid
CP108299	['NBC_00022']	['Streptomyces canus']	chromosome
CP108300	['NBC_00022']	['Streptomyces canus']	plasmid
CP108301	['NBC_00022']	['Streptomyces canus']	plasmid
CP108339	['NBC_00023']	['Streptomyces jietaisiensis']	chromosome
CP108340	['NBC_00023']	['Streptomyces jietaisiensis']	plasmid
CP108298	['NBC_00024']	['Streptomyces sp. NBC_00024']	chromosome
