strain_name	accession	taxon	DNA_type	DNA_length	tap_id	tpg_id	intergenic_dist	side	replicon_end	clust_type	clust_num	seq_len	hit_perc	strand	ign1	ign2	cigar	target	cluster_size
NBC_01372	CP109571	['Streptomyces anthocyanicus']	chromosome	8344052	PRJNA747871:OG208_00555	PRJNA747871:OG208_00550	9	left	CP109571_linear_left	H	3	90	73.3	+	0	0	38MD14M2D35M3I	AY225511.1_left AY225511 Streptomyces lividans strain 1326 plasmid SLP2, complete sequence.	17
NBC_01777	CP109102	['Streptomyces anthocyanicus']	chromosome	8677221	PRJNA747871:OIE72_38720	PRJNA747871:OIE72_38725	9	right	CP109102_linear_right	H	2	90	92.2	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01777	CP109102	['Streptomyces anthocyanicus']	chromosome	8677221	PRJNA747871:OIE72_00725	PRJNA747871:OIE72_00720	9	left	CP109102_linear_left	H	2	90	92.2	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01687	CP109205	['Streptomyces anthocyanicus']	chromosome	8477056	PRJNA747871:OHA39_00630	PRJNA747871:OHA39_00625	9	left	CP109205_linear_left	H	2	90	88.9	+	0	0	D89MI	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01636	CP109275	['Streptomyces anthocyanicus']	chromosome	8678397	PRJNA747871:OH747_00760	PRJNA747871:OH747_00755	9	left	CP109275_linear_left	H	2	90	90.0	+	0	0	70MI19MD	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00116	CP108200	['Streptomyces anthocyanicus']	chromosome	8505006	PRJNA747871:OHB34_37775	PRJNA747871:OHB34_37780	9	right	CP108200_linear_right	H	2	90	92.2	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01668	CP109228	['Streptomyces anthocyanicus']	chromosome	8561438	PRJNA747871:OHA15_38450	PRJNA747871:OHA15_38455	9	right	CP109228_linear_right	H	2	90	92.2	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00110	CP108206	['Streptomyces sp. NBC 00110']	chromosome	9579069	PRJNA747871:OHB59_43065	PRJNA747871:OHB59_43070	15	right	CP108206_linear_right	H	302	90	77.8	+	0	0	10I80M10D	CP108198_linear_left	6
NBC_00110	CP108206	['Streptomyces sp. NBC 00110']	chromosome	9579069	PRJNA747871:OHB59_00260	PRJNA747871:OHB59_00255	15	left	CP108206_linear_left	H	302	90	77.8	+	0	0	10I80M10D	CP108198_linear_left	6
NBC_00081	CP108234	['Streptomyces sp. NBC 00081']	chromosome	10386121	PRJNA747871:OG813_46615	PRJNA747871:OG813_46620	15	right	CP108234_linear_right	H	106	90	78.9	+	0	0	90M	CP107873_linear_left	28
NBC_00081	CP108234	['Streptomyces sp. NBC 00081']	chromosome	10386121	PRJNA747871:OG813_00260	PRJNA747871:OG813_00255	15	left	CP108234_linear_left	H	106	90	81.1	+	0	0	I73MI15M2D	CP107873_linear_left	28
NBC_00134	CP108181	['Streptomyces sp. NBC 00134']	chromosome	10315281	PRJNA747871:OHB42_46515	PRJNA747871:OHB42_46520	15	right	CP108181_linear_right	H	106	90	82.2	+	0	0	2I38MD34MI15M2D	CP107873_linear_left	28
NBC_00134	CP108181	['Streptomyces sp. NBC 00134']	chromosome	10315281	PRJNA747871:OHB42_00245	PRJNA747871:OHB42_00240	15	left	CP108181_linear_left	H	53	90	75.6	+	0	0	14I35MD11MD30M12D	CP107783_linear_left	14
NBC_00118	CP108198	['Streptomyces sp. NBC 00118']	chromosome	10245735	PRJNA747871:OHU24_46090	PRJNA747871:OHU24_46095	15	right	CP108198_linear_right	H	302	90	100.0	+	0	0	=	CP108198_linear_left	6
NBC_00118	CP108198	['Streptomyces sp. NBC 00118']	chromosome	10245735	PRJNA747871:OHU24_00245	PRJNA747871:OHU24_00240	15	left	CP108198_linear_left	S	302	90	*	*	*	*	*	*	6
NBC_01210	CP108549	['Streptomyces sp. NBC_01210']	chromosome	9076647	PRJNA747871:OG735_00395	PRJNA747871:OG735_00390	6	left	CP108549_linear_left	H	161	90	78.9	+	0	0	51M2D17M4I12MI5M3D	CP107960_linear_left	76
NBC_00035	CP108291	['Streptomyces sp. NBC_00035']	chromosome	10425166	PRJNA747871:OG438_46995	PRJNA747871:OG438_47000	7	right	CP108291_linear_right	H	50	90	80.0	+	0	0	11D79M11I	CP107780_linear_left	43
NBC_00035	CP108291	['Streptomyces sp. NBC_00035']	chromosome	10425166	PRJNA747871:OG438_00045	PRJNA747871:OG438_00040	7	left	CP108291_linear_left	H	50	90	80.0	+	0	0	11D79M11I	CP107780_linear_left	43
NBC_00009	CP108312	['Streptomyces sp. NBC 00009']	chromosome	8964405	PRJNA747871:OHA58_40040	PRJNA747871:OHA58_40045	7	right	CP108312_linear_right	H	362	90	95.6	+	0	0	90M	CP108312_linear_left	6
NBC_00009	CP108312	['Streptomyces sp. NBC 00009']	chromosome	8964405	PRJNA747871:OHA58_00850	PRJNA747871:OHA58_00845	7	left	CP108312_linear_left	S	362	90	*	*	*	*	*	*	6
NBC_00147	CP108172	['Streptomyces sp. NBC 00147']	chromosome	11165668	PRJNA747871:OG941_49945	PRJNA747871:OG941_49950	15	right	CP108172_linear_right	H	128	90	72.2	+	0	0	18MI19M4I35MD13M4D	CP107906_linear_left	6
NBC_00117	CP108199	['Streptomyces sp. NBC 00117']	chromosome	11132734	PRJNA747871:OHU25_50425	PRJNA747871:OHU25_50430	15	right	CP108199_linear_right	H	2	90	73.3	+	0	0	11I60MI18M12D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01386	CP109558	['Streptomyces sp. NBC_01386']	chromosome	11327439	PRJNA747871:OG581_51310	PRJNA747871:OG581_51315	15	right	CP109558_linear_right	H	336	90	78.9	+	0	0	20MD13M2D5MD28M8I16M4D	CP108260_linear_left	10
NBC_00371	CP107967	['Streptomyces sp. NBC 00371']	chromosome	11114350	PRJNA747871:OHT17_49945	PRJNA747871:OHT17_49950	15	right	CP107967_linear_right	H	2	90	80.0	+	0	0	74M2D14M2I	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01601	CP109314	['Streptomyces sp. NBC 01601']	chromosome	6514704	PRJNA747871:OG846_00260	PRJNA747871:OG846_00255	15	left	CP109314_linear_left	H	2	90	96.7	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00691	CP109007	['Streptomyces sp. NBC_00691']	chromosome	8302280	PRJNA747871:OG392_36680	PRJNA747871:OG392_36685	15	right	CP109007_linear_right	H	2	90	85.6	+	0	0	8D82M8I	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00566	CP107784	['Streptomyces sp. NBC 00566']	chromosome	6411420	PRJNA747871:OG812_29495	PRJNA747871:OG812_29500	15	right	CP107784_linear_right	H	2	90	94.4	+	0	0	83MD6MI	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01370	CP109574	['Streptomyces canus']	chromosome	10683296	PRJNA747871:OG459_48775	PRJNA747871:OG459_48780	12	right	CP109574_linear_right	H	2	90	93.3	+	0	0	50MD7MD31M2I	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01370	CP109574	['Streptomyces canus']	chromosome	10683296	PRJNA747871:OG459_00030	PRJNA747871:OG459_00025	12	left	CP109574_linear_left	H	2	90	95.6	+	0	0	50MD7MD12MI19MI	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01594	CP109322	['Streptomyces sp. NBC 01594']	chromosome	10712234	PRJNA747871:OG856_46830	PRJNA747871:OG856_46835	6	right	CP109322_linear_right	H	416	90	100.0	+	0	0	=	CP108392_linear_left	6
NBC_01021	CP108676	['Streptomyces prunicolor']	chromosome	10948847	PRJNA747871:OG588_49255	PRJNA747871:OG588_49260	3	right	CP108676_linear_right	H	50	90	88.9	+	0	0	4I70MD16M3D	CP107780_linear_left	43
NBC_01021	CP108676	['Streptomyces prunicolor']	chromosome	10948847	PRJNA747871:OG588_00170	PRJNA747871:OG588_00165	3	left	CP108676_linear_left	H	50	90	88.9	+	0	0	4I70M3D16MD	CP107780_linear_left	43
NBC_00299	CP108040	['Streptomyces sp. NBC 00299']	plasmid	222614	PRJNA747871:OHT51_43035	PRJNA747871:OHT51_43040	9	right	CP108040_linear_right	H	2	90	92.2	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01589	CP109333	['Streptomyces sp. NBC 01589']	chromosome	10719239	PRJNA747871:OHA59_47085	PRJNA747871:OHA59_47090	6	right	CP109333_linear_right	H	362	90	81.1	+	0	0	67M4D19M4I	CP108312_linear_left	6
NBC_00871	CP108808	['Streptomyces canus']	chromosome	10740985	PRJNA747871:OH837_48695	PRJNA747871:OH837_48700	6	right	CP108808_linear_right	H	1	90	78.9	+	0	0	90M	AB905437_left AB905437 Streptomyces rochei plasmid pSLA2-S DNA, complete sequence, strain: 7434AN4.	13
NBC_00871	CP108808	['Streptomyces canus']	chromosome	10740985	PRJNA747871:OH837_00120	PRJNA747871:OH837_00115	6	left	CP108808_linear_left	H	1	90	78.9	+	0	0	90M	AB905437_left AB905437 Streptomyces rochei plasmid pSLA2-S DNA, complete sequence, strain: 7434AN4.	13
NBC_01185	CP108587	['Streptomyces sp. NBC_01185']	chromosome	8411192	PRJNA747871:OG770_37550	PRJNA747871:OG770_37555	12	right	CP108587_linear_right	H	2	90	88.9	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01185	CP108587	['Streptomyces sp. NBC_01185']	chromosome	8411192	PRJNA747871:OG770_00045	PRJNA747871:OG770_00040	12	left	CP108587_linear_left	H	3	90	74.4	+	0	0	38MD23M2D13MD12M4I	AY225511.1_left AY225511 Streptomyces lividans strain 1326 plasmid SLP2, complete sequence.	17
NBC_01013	CP108687	['Streptomyces sp. NBC_01013']	chromosome	8453265	PRJNA747871:OG538_00470	PRJNA747871:OG538_00475	6	left	CP108687_linear_left	H	510	90	76.7	+	0	0	18D72M18I	CP108535_circular_left	44
NBC_00289	CP108049	['Streptomyces sp. NBC 00289']	plasmid	89854	PRJNA747871:OG985_49860	PRJNA747871:OG985_49855	12	left	CP108049_linear_left	H	90	90	84.4	+	0	0	72M2D16M2I	CP107845_linear_left	54
NBC_00277	CP108066	['Streptomyces canus']	plasmid	134326	PRJNA747871:OHT68_48740	PRJNA747871:OHT68_48735	12	left	CP108066_linear_left	H	0	90	75.6	+	0	0	12I78M12D	AB088224_left AB088224 Streptomyces rochei plasmid pSLA2-L DNA, complete sequence.	42
NBC_01210	CP108550	['Streptomyces sp. NBC_01210']	plasmid	131861	PRJNA747871:OG735_41090	PRJNA747871:OG735_41085	12	left	CP108550_linear_left	H	2	90	72.2	+	0	0	D41M14I27M3D8M10D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00302	CP108038	['Streptomyces bobili']	chromosome	9287515	PRJNA747871:OHT53_41580	PRJNA747871:OHT53_41585	12	right	CP108038_linear_right	H	90	90	85.6	+	0	0	90M	CP107845_linear_left	54
NBC_00302	CP108038	['Streptomyces bobili']	chromosome	9287515	PRJNA747871:OHT53_00030	PRJNA747871:OHT53_00025	12	left	CP108038_linear_left	H	90	90	82.2	+	0	0	37M2I37MI13M3D	CP107845_linear_left	54
NBC_01240	CP108499	['Streptomyces sp. NBC_01240']	plasmid	129922	PRJNA747871:OG466_40100	PRJNA747871:OG466_40095	7	left	CP108499_linear_left	H	455	90	74.4	+	0	0	63MI26MD	CP108456_linear_left	19
NBC_01238	CP130723	['Streptomyces sp. NBC_01238']	plasmid	133137	PRJNA747871:OG382_38875	PRJNA747871:OG382_38870	7	left	CP130723_linear_left	H	455	90	75.6	+	0	0	63MI26MD	CP108456_linear_left	19
