strain	replicon	left_ext	right_ext
NBC_00001	CP108322	12	12
NBC_00002	CP108321	24	22
NBC_00003	CP108318	15	119
NBC_00003	CP108319	116	119
NBC_00003	CP108320	120	119
NBC_00005	CP108316	12	14
NBC_00005	CP108317	rejected	rejected
NBC_00008	CP108313	110	18
NBC_00008	CP108314	14	111
NBC_00008	CP108315	18	112
NBC_00009	CP108312	14	14
NBC_00012	CP108309	13	13
NBC_00012	CP108310	14	13
NBC_00012	CP108311	13	15
NBC_00015	CP108306	23	20
NBC_00015	CP108307	21	19
NBC_00015	CP108308	23	20
NBC_00016	CP108304	12	12
NBC_00016	CP108305	12	12
NBC_00017	CP108341	12	12
NBC_00019	CP108302	12	13
NBC_00019	CP108303	14	11
NBC_00022	CP108299	12	12
NBC_00022	CP108300	12	12
NBC_00022	CP108301	13	14
NBC_00023	CP108339	11	11
NBC_00024	CP108298	rejected	rejected
NBC_00027	CP108295	14	152
NBC_00027	CP108296	rejected	120
NBC_00027	CP108297	119	14
NBC_00028	CP108293	14	14
NBC_00028	CP108294	14	14
NBC_00029	CP108292	13	13
NBC_00035	CP108291	39	39
NBC_00040	CP108287	23	23
NBC_00040	CP108288	rejected	rejected
NBC_00041	CP108283	13	14
NBC_00041	CP108284	13	13
NBC_00041	CP108286	13	119
NBC_00042	CP108281	13	14
NBC_00042	CP108282	12	13
NBC_00043	CP108276	11	12
NBC_00043	CP108277	11	13
NBC_00043	CP108280	11	121
NBC_00044	CP108273	22	22
NBC_00044	CP108274	23	23
NBC_00044	CP108275	22	82
NBC_00045	CP108271	119	rejected
NBC_00045	CP108272	1	2
NBC_00046	CP108268	rejected	rejected
NBC_00046	CP108269	14	14
NBC_00046	CP108270	rejected	rejected
NBC_00048	CP108266	12	12
NBC_00048	CP108267	rejected	rejected
NBC_00049	CP108264	96	106
NBC_00049	CP108265	115	114
NBC_00053	CP108261	10	16
NBC_00053	CP108262	14	13
NBC_00053	CP108263	15	14
NBC_00055	CP108259	12	12
NBC_00055	CP108260	11	11
NBC_00056	CP108258	rejected	rejected
NBC_00057	CP108256	89	89
NBC_00057	CP108257	89	11
NBC_00060	CP108253	12	12
NBC_00060	CP108254	13	13
NBC_00060	CP108255	13	117
NBC_00069	CP108249	116	12
NBC_00073	CP108244	12	12
NBC_00073	CP108245	14	rejected
NBC_00073	CP108246	13	12
NBC_00075	CP108243	rejected	rejected
NBC_00076	CP108242	14	14
NBC_00077	CP108238	126	126
NBC_00077	CP108239	rejected	140
NBC_00077	CP108240	24	115
NBC_00077	CP108241	115	24
NBC_00079	CP108237	15	rejected
NBC_00080	CP108235	11	11
NBC_00080	CP108236	11	11
NBC_00081	CP108234	rejected	rejected
NBC_00082	CP108233	14	14
NBC_00084	CP108230	22	22
NBC_00084	CP108231	23	23
NBC_00084	CP108232	22	23
NBC_00087	CP108227	13	13
NBC_00087	CP108228	13	12
NBC_00088	CP108225	15	14
NBC_00088	CP108226	12	11
NBC_00090	CP108224	19	19
NBC_00093	CP108222	11	14
NBC_00093	CP108223	12	12
NBC_00096	CP108221	100	107
NBC_00099	CP108218	11	11
NBC_00099	CP108219	11	11
NBC_00101	CP108217	14	14
NBC_00104	CP108215	17	17
NBC_00105	CP108213	11	11
NBC_00105	CP108214	11	14
NBC_00107	CP108207	11	11
NBC_00110	CP108206	13	13
NBC_00111	CP108203	rejected	119
NBC_00111	CP108205	rejected	rejected
NBC_00114	CP108201	15	15
NBC_00116	CP108200	12	11
NBC_00117	CP108199	rejected	rejected
NBC_00118	CP108198	rejected	rejected
NBC_00119	CP108195	rejected	rejected
NBC_00119	CP108196	99	111
NBC_00119	CP108197	113	120
NBC_00121	CP108194	14	14
NBC_00122	CP108191	rejected	rejected
NBC_00122	CP108192	107	107
NBC_00122	CP108193	122	rejected
NBC_00123	CP108188	13	13
NBC_00123	CP108189	61	12
NBC_00123	CP108190	11	61
NBC_00125	CP108184	11	11
NBC_00125	CP108185	12	12
NBC_00131	CP108334	16	16
NBC_00131	CP108335	16	16
NBC_00131	CP108336	129	124
NBC_00133	CP108183	17	18
NBC_00134	CP108181	rejected	rejected
NBC_00135	CP108179	11	11
NBC_00135	CP108180	11	11
NBC_00138	CP108177	22	22
NBC_00144	CP108175	12	12
NBC_00144	CP108176	13	11
NBC_00145	CP108174	6	5
NBC_00147	CP108172	14	14
NBC_00147	CP108173	11	11
NBC_00148	CP108169	rejected	18
NBC_00150	CP130716	10	13
NBC_00150	CP130717	rejected	12
NBC_00156	CP108164	17	18
NBC_00158	CP108161	19	16
NBC_00158	CP108162	6	12
NBC_00158	CP108163	rejected	rejected
NBC_00161	CP108156	12	12
NBC_00161	CP108157	13	12
NBC_00161	CP108159	12	13
NBC_00164	CP108153	16	15
NBC_00164	CP108154	106	108
NBC_00165	CP108152	12	12
NBC_00168	CP108148	1	1
NBC_00169	CP108147	13	13
NBC_00171	CP108146	12	12
NBC_00172	CP108145	rejected	rejected
NBC_00178	CP108143	11	14
NBC_00178	CP108144	11	12
NBC_00179	CP108142	rejected	rejected
NBC_00180	CP108140	25	25
NBC_00184	CP108137	102	rejected
NBC_00184	CP108138	120	119
NBC_00184	CP108139	118	rejected
NBC_00185	CP108135	22	22
NBC_00185	CP108136	22	73
NBC_00187	CP108333	118	13
NBC_00189	CP108133	16	16
NBC_00190	CP108131	20	14
NBC_00190	CP108132	20	17
NBC_00191	CP108130	14	15
NBC_00197	CP108128	rejected	rejected
NBC_00200	CP108127	11	11
NBC_00203	CP108126	12	12
NBC_00206	CP108125	11	11
NBC_00207	CP130715	99	99
