strain.x	replicon	clust_type.x	clust_num	cluster_size	ind_clust_size.x	ONT_ext	strain.y	clust_type.y	ind_clust_size.y	Ill_ext	rep_type
NBC_00001	CP108322_linear_left	H	9	77	30	48	NBC_00001	H	30	-12	chromosome
NBC_00001	CP108322_linear_right	H	9	77	30	7	NBC_00001	H	30	-12	chromosome
NBC_00002	CP108321_linear_left	S	372	3	2	3357	NBC_00002	S	2	-24	chromosome
NBC_00002	CP108321_linear_right	H	372	3	2	3347	NBC_00002	H	2	-22	chromosome
NBC_00003	CP108318_linear_left	H	9	77	30	0	NBC_00003	H	30	-15	chromosome
NBC_00003	CP108318_linear_right	S	367	1	1	9493	NBC_00003	S	1	-119	chromosome
NBC_00003	CP108319_linear_left	S	368	1	1	0	NBC_00003	S	1	-116	extrachromosomal
NBC_00003	CP108319_linear_right	S	369	1	1	3119	NBC_00003	S	1	-119	extrachromosomal
NBC_00003	CP108320_linear_left	S	370	1	1	2909	NBC_00003	S	1	-120	extrachromosomal
NBC_00003	CP108320_linear_right	S	371	1	1	0	NBC_00003	S	1	-119	extrachromosomal
NBC_00005	CP108316_linear_left	H	161	76	30	10	NBC_00005	H	30	-12	chromosome
NBC_00005	CP108316_linear_right	H	161	76	30	8	NBC_00005	H	30	-14	chromosome
NBC_00005	CP108317_linear_left	S	366	3	1	0	NBC_00005	S	1	-0	plasmid
NBC_00005	CP108317_linear_right	H	366	3	1	0	NBC_00005	H	1	-0	plasmid
NBC_00008	CP108313_linear_left	S	363	1	1	61	NBC_00008	S	1	-110	chromosome
NBC_00008	CP108313_linear_right	H	2	327	116	23	NBC_00008	H	116	-18	chromosome
NBC_00008	CP108314_linear_left	H	2	327	116	0	NBC_00008	H	116	-14	extrachromosomal
NBC_00008	CP108314_linear_right	S	364	1	1	0	NBC_00008	S	1	-111	extrachromosomal
NBC_00008	CP108315_linear_left	H	90	54	24	0	NBC_00008	H	24	-18	plasmid
NBC_00008	CP108315_linear_right	S	365	1	1	0	NBC_00008	S	1	-112	plasmid
NBC_00009	CP108312_linear_left	S	362	6	2	6	NBC_00009	S	2	-14	chromosome
NBC_00009	CP108312_linear_right	H	362	6	2	6	NBC_00009	H	2	-14	chromosome
NBC_00012	CP108309_linear_left	H	224	36	12	0	NBC_00012	H	12	-13	chromosome
NBC_00012	CP108309_linear_right	H	224	36	12	0	NBC_00012	H	12	-13	chromosome
NBC_00012	CP108310_linear_left	H	161	76	30	0	NBC_00012	H	30	-14	plasmid
NBC_00012	CP108310_linear_right	H	161	76	30	0	NBC_00012	H	30	-13	plasmid
NBC_00012	CP108311_linear_left	H	161	76	30	0	NBC_00012	H	30	-13	plasmid
NBC_00012	CP108311_linear_right	H	342	15	6	0	NBC_00012	H	6	-15	plasmid
