	protein_match	strain_name	accession	taxon	DNA_type	DNA_topolgy	DNA_length	protein_id	location	product	pident	evalue	qcov
0	Tpg	NBC_00116	CP108200	['Streptomyces anthocyanicus']	chromosome	linear	8505006	PRJNA747871:OHB34_37780	[8369798:8370356](+)	['XRE family transcriptional regulator']	100.0	1.8200000000000002e-132	100
1	Tpg	NBC_01777	CP109102	['Streptomyces anthocyanicus']	chromosome	linear	8677221	PRJNA747871:OIE72_38725	[8543366:8543924](+)	['XRE family transcriptional regulator']	100.0	1.8200000000000002e-132	100
2	Tpg	NBC_01777	CP109102	['Streptomyces anthocyanicus']	chromosome	linear	8677221	PRJNA747871:OIE72_00720	[133297:133855](-)	['XRE family transcriptional regulator']	100.0	1.8200000000000002e-132	100
3	Tpg	NBC_01687	CP109205	['Streptomyces anthocyanicus']	chromosome	linear	8477056	PRJNA747871:OHA39_00625	[113025:113583](-)	['XRE family transcriptional regulator']	100.0	1.8200000000000002e-132	100
4	Tpg	NBC_01668	CP109228	['Streptomyces anthocyanicus']	chromosome	linear	8561438	PRJNA747871:OHA15_38455	[8426989:8427547](+)	['XRE family transcriptional regulator']	100.0	1.8200000000000002e-132	100
5	Tpg	NBC_01636	CP109275	['Streptomyces anthocyanicus']	chromosome	linear	8678397	PRJNA747871:OH747_00755	[141124:141682](-)	['XRE family transcriptional regulator']	100.0	1.8200000000000002e-132	100
6	Tpg	NBC_01372	CP109571	['Streptomyces anthocyanicus']	chromosome	linear	8344052	PRJNA747871:OG208_00550	[99239:99797](-)	['XRE family transcriptional regulator']	100.0	1.8200000000000002e-132	100
7	Tpg	NBC_01662	CP109242	['Streptomyces anthocyanicus']	chromosome	linear	8651515	PRJNA747871:OG855_00625	[114011:114569](-)	['XRE family transcriptional regulator']	99.459	3.08e-132	100
8	Tpg	NBC_00267	CP108076	['Streptomyces sp. NBC 00267']	chromosome	linear	9196834	PRJNA747871:OG860_00595	[116339:116897](-)	['XRE family transcriptional regulator']	91.892	2e-122	100
9	Tpg	NBC_00377	CP107958	['Streptomyces sp. NBC 00377']	chromosome	linear	9195461	PRJNA747871:OHS71_00595	[116318:116876](-)	['XRE family transcriptional regulator']	91.892	2e-122	100
10	Tpg	NBC_00277	CP108066	['Streptomyces canus']	plasmid	linear	134326	PRJNA747871:OHT68_48735	[36045:36603](-)	['XRE family transcriptional regulator']	90.27	3.43e-120	100
11	Tpg	NBC_01769	CP109114	['Streptomyces brevispora']	chromosome	linear	7883535	PRJNA747871:OIE64_35975	[7867502:7868060](+)	['XRE family transcriptional regulator']	90.27	5.26e-120	100
12	Tpg	NBC_01769	CP109114	['Streptomyces brevispora']	chromosome	linear	7883535	PRJNA747871:OIE64_00065	[15475:16033](-)	['XRE family transcriptional regulator']	90.27	5.26e-120	100
13	Tpg	NBC_01370	CP109574	['Streptomyces canus']	chromosome	linear	10683296	PRJNA747871:OG459_48780	[10677481:10678039](+)	['XRE family transcriptional regulator']	89.73	5.32e-120	100
14	Tpg	NBC_01370	CP109574	['Streptomyces canus']	chromosome	linear	10683296	PRJNA747871:OG459_00025	[5255:5813](-)	['XRE family transcriptional regulator']	89.73	5.32e-120	100
15	Tpg	NBC_01679	CP109216	['Streptomyces althioticus']	plasmid	linear	117666	PRJNA747871:OG968_35450	[65537:66095](-)	['XRE family transcriptional regulator']	90.811	4.6199999999999997e-119	100
16	Tpg	NBC_00633	CP107731	['Streptomyces canus']	chromosome	linear	10700624	PRJNA747871:OHB22_49250	[10694971:10695529](+)	['XRE family transcriptional regulator']	89.189	5.56e-119	100
17	Tpg	NBC_00633	CP107731	['Streptomyces canus']	chromosome	linear	10700624	PRJNA747871:OHB22_00025	[5090:5648](-)	['XRE family transcriptional regulator']	89.189	5.56e-119	100
18	Tpg	NBC_01542	CP109389	['Streptomyces niveus']	chromosome	linear	8715066	PRJNA747871:OHA80_38995	[8642419:8642977](+)	['XRE family transcriptional regulator']	87.568	1.67e-118	100
19	Tpg	NBC_01536	CP109393	['Streptomyces niveus']	chromosome	linear	8603154	PRJNA747871:OG443_37840	[8530540:8531098](+)	['XRE family transcriptional regulator']	87.568	1.67e-118	100
20	Tpg	NBC_01507	CP109421	['Streptomyces niveus']	chromosome	linear	8486574	PRJNA747871:OG501_37590	[8435800:8436358](+)	['XRE family transcriptional regulator']	87.568	1.67e-118	100
21	Tpg	NBC_01447	CP109483	['Streptomyces niveus']	chromosome	linear	8500400	PRJNA747871:OG275_00465	[103451:104009](-)	['XRE family transcriptional regulator']	87.568	1.67e-118	100
22	Tpg	NBC_01432	CP109495	['Streptomyces niveus']	chromosome	linear	8756431	PRJNA747871:OG442_39300	[8733103:8733661](+)	['XRE family transcriptional regulator']	87.568	1.67e-118	100
