strain	replicon	data_type	ext	clust_type	clust_num	cluster_size	ind_clust_size	rep_type	taxon
NBC_00001	CP108322_linear_left	Illumina	12	H	9	77	30	chromosome	['Streptomyces canus']
NBC_00001	CP108322_linear_right	Illumina	12	H	9	77	30	chromosome	['Streptomyces canus']
NBC_00001	CP108322_linear_left	ONT	48	H	9	77	30	chromosome	['Streptomyces canus']
NBC_00001	CP108322_linear_right	ONT	7	H	9	77	30	chromosome	['Streptomyces canus']
NBC_00002	CP108321_linear_left	Illumina	24	S	372	3	2	chromosome	['Streptomyces canus']
NBC_00002	CP108321_linear_right	Illumina	22	H	372	3	2	chromosome	['Streptomyces canus']
NBC_00002	CP108321_linear_left	ONT	3357	S	372	3	2	chromosome	['Streptomyces canus']
NBC_00002	CP108321_linear_right	ONT	3347	H	372	3	2	chromosome	['Streptomyces canus']
NBC_00003	CP108318_linear_left	Illumina	15	H	9	77	30	chromosome	['Streptomyces sp. NBC_00003']
NBC_00003	CP108318_linear_right	Illumina	119	S	367	1	1	chromosome	['Streptomyces sp. NBC_00003']
NBC_00003	CP108318_linear_left	ONT	0	H	9	77	30	chromosome	['Streptomyces sp. NBC_00003']
NBC_00003	CP108318_linear_right	ONT	9493	S	367	1	1	chromosome	['Streptomyces sp. NBC_00003']
NBC_00003	CP108319_linear_left	Illumina	116	S	368	1	1	extrachromosomal	['Streptomyces sp. NBC_00003']
NBC_00003	CP108319_linear_right	Illumina	119	S	369	1	1	extrachromosomal	['Streptomyces sp. NBC_00003']
NBC_00003	CP108319_linear_left	ONT	0	S	368	1	1	extrachromosomal	['Streptomyces sp. NBC_00003']
NBC_00003	CP108319_linear_right	ONT	3119	S	369	1	1	extrachromosomal	['Streptomyces sp. NBC_00003']
NBC_00003	CP108320_linear_left	Illumina	120	S	370	1	1	extrachromosomal	['Streptomyces sp. NBC_00003']
NBC_00003	CP108320_linear_right	Illumina	119	S	371	1	1	extrachromosomal	['Streptomyces sp. NBC_00003']
NBC_00003	CP108320_linear_left	ONT	2909	S	370	1	1	extrachromosomal	['Streptomyces sp. NBC_00003']
NBC_00003	CP108320_linear_right	ONT	0	S	371	1	1	extrachromosomal	['Streptomyces sp. NBC_00003']
NBC_00005	CP108316_linear_left	Illumina	12	H	161	76	30	chromosome	['Streptomyces sp. NBC_00005']
NBC_00005	CP108316_linear_right	Illumina	14	H	161	76	30	chromosome	['Streptomyces sp. NBC_00005']
NBC_00005	CP108316_linear_left	ONT	10	H	161	76	30	chromosome	['Streptomyces sp. NBC_00005']
NBC_00005	CP108316_linear_right	ONT	8	H	161	76	30	chromosome	['Streptomyces sp. NBC_00005']
NBC_00005	CP108317_linear_left	Illumina	0	S	366	3	1	plasmid	['Streptomyces sp. NBC_00005']
NBC_00005	CP108317_linear_right	Illumina	0	H	366	3	1	plasmid	['Streptomyces sp. NBC_00005']
NBC_00005	CP108317_linear_left	ONT	0	S	366	3	1	plasmid	['Streptomyces sp. NBC_00005']
NBC_00005	CP108317_linear_right	ONT	0	H	366	3	1	plasmid	['Streptomyces sp. NBC_00005']
NBC_00008	CP108313_linear_left	Illumina	110	S	363	1	1	chromosome	['Streptomyces sp. NBC_00008']
NBC_00008	CP108313_linear_right	Illumina	18	H	2	327	116	chromosome	['Streptomyces sp. NBC_00008']
NBC_00008	CP108313_linear_left	ONT	61	S	363	1	1	chromosome	['Streptomyces sp. NBC_00008']
NBC_00008	CP108313_linear_right	ONT	23	H	2	327	116	chromosome	['Streptomyces sp. NBC_00008']
NBC_00008	CP108314_linear_left	Illumina	14	H	2	327	116	extrachromosomal	['Streptomyces sp. NBC_00008']
NBC_00008	CP108314_linear_right	Illumina	111	S	364	1	1	extrachromosomal	['Streptomyces sp. NBC_00008']
NBC_00008	CP108314_linear_left	ONT	0	H	2	327	116	extrachromosomal	['Streptomyces sp. NBC_00008']
NBC_00008	CP108314_linear_right	ONT	0	S	364	1	1	extrachromosomal	['Streptomyces sp. NBC_00008']
NBC_00008	CP108315_linear_left	Illumina	18	H	90	54	24	plasmid	['Streptomyces sp. NBC_00008']
NBC_00008	CP108315_linear_right	Illumina	112	S	365	1	1	plasmid	['Streptomyces sp. NBC_00008']
NBC_00008	CP108315_linear_left	ONT	0	H	90	54	24	plasmid	['Streptomyces sp. NBC_00008']
NBC_00008	CP108315_linear_right	ONT	0	S	365	1	1	plasmid	['Streptomyces sp. NBC_00008']
NBC_00009	CP108312_linear_left	Illumina	14	S	362	6	2	chromosome	['Streptomyces sp. NBC 00009']
NBC_00009	CP108312_linear_right	Illumina	14	H	362	6	2	chromosome	['Streptomyces sp. NBC 00009']
NBC_00009	CP108312_linear_left	ONT	6	S	362	6	2	chromosome	['Streptomyces sp. NBC 00009']
NBC_00009	CP108312_linear_right	ONT	6	H	362	6	2	chromosome	['Streptomyces sp. NBC 00009']
NBC_00012	CP108309_linear_left	Illumina	13	H	224	36	12	chromosome	['Streptomyces sp. NBC 00012']
NBC_00012	CP108309_linear_right	Illumina	13	H	224	36	12	chromosome	['Streptomyces sp. NBC 00012']
NBC_00012	CP108309_linear_left	ONT	0	H	224	36	12	chromosome	['Streptomyces sp. NBC 00012']
NBC_00012	CP108309_linear_right	ONT	0	H	224	36	12	chromosome	['Streptomyces sp. NBC 00012']
NBC_00012	CP108310_linear_left	Illumina	14	H	161	76	30	plasmid	['Streptomyces sp. NBC 00012']
