strain_name	protein_match	Putative partner	Comment	check_of_prot_id	check	accession	taxon	DNA_type	DNA_topolgy	DNA_length	protein_id	product	pident	evalue	qcov	start	stop	strand	relative_position	side	replicon_end																		
NBC_01689	GtpA	OG776_04410		PRJNA747871:OG776_04405	TRUE	CP109592	['Streptomyces sp. NBC 01689']	chromosome	linear	9909705	PRJNA747871:OG776_04405	['hypothetical protein']	52.174	1,99E-40	99	1072534	1071973	-	0.10823066882414764	left	CP109592_left_-																		
NBC_01689	GtpA	NA		PRJNA747871:OG776_05190	TRUE	CP109592	['Streptomyces sp. NBC 01689']	chromosome	linear	9909705	PRJNA747871:OG776_05190	['hypothetical protein']	55.28	3.47e-53	86	1237294	1236721	-	0.12485679442526292	left	CP109592_left_-																		
NBC_00061	GtpB	OHV13_34580	Hyptoethical	PRJNA747871:OHV13_34575	TRUE	CP108252	['Kitasatospora purpeofusca']	chromosome	linear	8106570	PRJNA747871:OHV13_34575	['AAA family ATPase']	51.515	3.89e-51	58	8100116	8102870	+	0.9992038556380812	right	CP108252_right_+																		
NBC_01485	GtpB	OG352_00050	Hyptoethical	PRJNA747871:OG352_00055	TRUE	CP109435	['Streptomyces sp. NBC_01485']	chromosome	linear	9142758	PRJNA747871:OG352_00055	['hypothetical protein']	49.231	9.93e-53	59	14191	10843	-	0.0015521574562074158	left	CP109435_left_-																		
NBC_01485	GtpB	OG352_39685	Hyptoethical	PRJNA747871:OG352_39680	TRUE	CP109435	['Streptomyces sp. NBC_01485']	chromosome	linear	9142758	PRJNA747871:OG352_39680	['hypothetical protein']	49.231	9.93e-53	59	9128567	9131915	+	0.9984478425437926	right	CP109435_right_+																		
NBC_01657	GtpB	OH715_35675	Truncated or predicted wrong'	PRJNA747871:OH715_35670	TRUE	CP109250	['Streptomyces cellulosae']	plasmid	linear	339890	PRJNA747871:OH715_35670	['DnaB-like helicase C-terminal domain-containing protein']	47.411	7.26e-64	41	31889	27962	-	0.0938215304951602	left	CP109250_left_-																		
NBC_01657	GtpB	OH715_36950	Truncated or predicted wrong'	PRJNA747871:OH715_36955	TRUE	CP109250	['Streptomyces cellulosae']	plasmid	linear	339890	PRJNA747871:OH715_36955	['DnaB-like helicase C-terminal domain-containing protein']	47.411	7.26e-64	41	308001	311928	+	0.9061784695048398	right	CP109250_right_+																		
NBC_01676	GtpB	OG837_35990	Hyptoethical	PRJNA747871:OG837_35985	TRUE	CP109223	['Streptomyces cellulosae']	plasmid	linear	458741	PRJNA747871:OG837_35985	['DnaB-like helicase C-terminal domain-containing protein']	47.355	1,17E-49	69	373357	377983	+	0.813873187702865	right	CP109223_right_+																		
NBC_01678	GtpB	OIE99_33920	Truncated or predicted wrong'	PRJNA747871:OIE99_33915	TRUE	CP109454	['Streptomyces cellulosae']	plasmid	linear	339165	PRJNA747871:OIE99_33915	['DnaB-like helicase C-terminal domain-containing protein']	47.411	7.26e-64	41	31524	27597	-	0.09294591128211932	left	CP109454_left_-																		
NBC_01678	GtpB	OIE99_35200	Truncated or predicted wrong'	PRJNA747871:OIE99_35205	TRUE	CP109454	['Streptomyces cellulosae']	plasmid	linear	339165	PRJNA747871:OIE99_35205	['DnaB-like helicase C-terminal domain-containing protein']	47.411	7.26e-64	41	307639	311566	+	0.9070481918830068	right	CP109454_right_+																		
